codgeo;libgeo;an;med_disp
02210;Condé-sur-Aisne;2020;22690
02211;Condé-sur-Suippe;2020;21490
02212;Condren;2020;21480
02213;Connigis;2020;22330
02214;Contescourt;2020;
02215;Corbeny;2020;21960
02216;Corcy;2020;22820
02217;Coucy-le-Château-Auffrique;2020;21100
02218;Coucy-lès-Eppes;2020;20550
02219;Coucy-la-Ville;2020;20390
02220;Coulonges-Cohan;2020;21830
02221;Coupru;2020;23600
02222;Courbes;2020;
02223;Courboin;2020;21300
02224;Courcelles-sur-Vesle;2020;20360
02225;Courchamps;2020;
02226;Courmelles;2020;21780
02227;Courmont;2020;23190
02228;Courtemont-Varennes;2020;20890
02229;Courtrizy-et-Fussigny;2020;
02230;Couvrelles;2020;23650
02231;Couvron-et-Aumencourt;2020;19790
02232;Coyolles;2020;22690
02233;Cramaille;2020;22030
02234;Craonne;2020;
02235;Craonnelle;2020;19490
02236;Crécy-au-Mont;2020;20610
02237;Crécy-sur-Serre;2020;19810
02238;Crépy;2020;20040
02239;Crézancy;2020;20300
02240;Croix-Fonsomme;2020;20930
02241;La Croix-sur-Ourcq;2020;
02242;Crouttes-sur-Marne;2020;23860
02243;Crouy;2020;20380
02244;Crupilly;2020;
02245;Cuffies;2020;21270
02246;Cugny;2020;22510
02248;Cuirieux;2020;17720
02249;Cuiry-Housse;2020;22300
02250;Cuiry-lès-Chaudardes;2020;
02251;Cuiry-lès-Iviers;2020;
02252;Cuissy-et-Geny;2020;
02253;Cuisy-en-Almont;2020;23960
02254;Cutry;2020;23000
02255;Cys-la-Commune;2020;20400
02256;Dagny-Lambercy;2020;19460
02257;Dallon;2020;26100
02258;Dammard;2020;21810
02259;Dampleux;2020;24750
02260;Danizy;2020;19450
02261;Dercy;2020;21300
02262;Deuillet;2020;22810
02263;Dhuizel;2020;23340
02264;Dizy-le-Gros;2020;18950
02265;Dohis;2020;
02266;Dolignon;2020;
02267;Dommiers;2020;20480
02268;Domptin;2020;23340
02269;Dorengt;2020;20440
02270;Douchy;2020;20920
02271;Dravegny;2020;18290
02272;Droizy;2020;
02273;Dury;2020;21680
02274;Ébouleau;2020;19630
02275;Effry;2020;16980
02276;Englancourt;2020;22880
02277;Épagny;2020;20860
02278;Éparcy;2020;
02279;Épaux-Bézu;2020;24150
02280;Épieds;2020;23400
02281;L'Épine-aux-Bois;2020;22240
02282;Eppes;2020;20590
02283;Erlon;2020;19900
02284;Erloy;2020;
02286;Esquéhéries;2020;20540
02287;Essigny-le-Grand;2020;24610
02288;Essigny-le-Petit;2020;20610
02289;Essises;2020;23550
02290;Essômes-sur-Marne;2020;23180
02291;Estrées;2020;22170
02292;Étampes-sur-Marne;2020;21390
02293;Étaves-et-Bocquiaux;2020;20950
02294;Étouvelles;2020;23060
02295;Étréaupont;2020;18270
02296;Étreillers;2020;22730
02297;Étrépilly;2020;22350
02298;Étreux;2020;19500
02299;Évergnicourt;2020;21460
02302;Faverolles;2020;23690
02303;Fayet;2020;32520
02304;La Fère;2020;15660
02305;Fère-en-Tardenois;2020;18960
02306;La Ferté-Chevresis;2020;19220
02307;La Ferté-Milon;2020;22320
02308;Fesmy-le-Sart;2020;19200
02309;Festieux;2020;20630
02310;Fieulaine;2020;22580
02311;Filain;2020;21800
02312;La Flamengrie;2020;20120
02313;Flavigny-le-Grand-et-Beaurain;2020;21660
02315;Flavy-le-Martel;2020;21350
02316;Fleury;2020;25620
02317;Fluquières;2020;25570
02318;Folembray;2020;19510
02319;Fonsomme;2020;19260
02320;Fontaine-lès-Clercs;2020;25320
02321;Fontaine-lès-Vervins;2020;21130
02322;Fontaine-Notre-Dame;2020;24490
02323;Fontaine-Uterte;2020;22470
02324;Fontenelle;2020;21390
02326;Fontenoy;2020;22190
02327;Foreste;2020;19100
02328;Fossoy;2020;24270
02329;Fourdrain;2020;24080
02330;Francilly-Selency;2020;26260
02331;Franqueville;2020;19000
02332;Fresnes-en-Tardenois;2020;21850
02333;Fresnes-sous-Coucy;2020;20210
02334;Fresnoy-le-Grand;2020;18600
02335;Fressancourt;2020;20420
02336;Frières-Faillouël;2020;22410
02337;Froidestrées;2020;21020
02338;Froidmont-Cohartille;2020;20550
02339;Gandelu;2020;22000
02340;Gauchy;2020;20340
02341;Gercy;2020;22220
02342;Gergny;2020;22630
02343;Germaine;2020;20610
02345;Gibercourt;2020;
02346;Gizy;2020;21050
02347;Gland;2020;25050
02349;Goudelancourt-lès-Berrieux;2020;
02350;Goudelancourt-lès-Pierrepont;2020;20310
02351;Goussancourt;2020;24520
02352;Gouy;2020;19380
02353;Grandlup-et-Fay;2020;20750
02354;Grandrieux;2020;
02355;Gricourt;2020;23680
02356;Grisolles;2020;21030
02357;Gronard;2020;
02358;Grougis;2020;19400
02359;Grugies;2020;21540
02360;Villeneuve-sur-Aisne;2020;22560
02361;Guise;2020;17300
02362;Guivry;2020;24430
02363;Guny;2020;19080
02364;Guyencourt;2020;24470
02366;Hannapes;2020;18910
02367;Happencourt;2020;21170
02368;Haramont;2020;21950
02369;Harcigny;2020;19060
02370;Hargicourt;2020;21830
02371;Harly;2020;20920
02372;Hartennes-et-Taux;2020;22460
02373;Hary;2020;22210
02374;Lehaucourt;2020;20300
02375;Hautevesnes;2020;22800
02376;Hauteville;2020;20360
02377;Haution;2020;19790
02378;La Hérie;2020;18340
02379;Le Hérie-la-Viéville;2020;20330
02380;Hinacourt;2020;
02381;Hirson;2020;16280
02382;Holnon;2020;23230
02383;Homblières;2020;24170
02384;Houry;2020;
02385;Housset;2020;18340
02386;Iron;2020;19940
02387;Itancourt;2020;24220
02388;Iviers;2020;17980
02389;Jaulgonne;2020;21720
02390;Jeancourt;2020;22030
02391;Jeantes;2020;19980
02392;Joncourt;2020;22740
02393;Jouaignes;2020;22730
02395;Jumencourt;2020;21550
02396;Jumigny;2020;
02397;Jussy;2020;20880
02398;Juvigny;2020;21110
02399;Juvincourt-et-Damary;2020;22360
02400;Laffaux;2020;21820
02401;Laigny;2020;22670
02402;Lanchy;2020;
02403;Landifay-et-Bertaignemont;2020;19490
02404;Landouzy-la-Cour;2020;20340
02405;Landouzy-la-Ville;2020;20650
02406;Landricourt;2020;24570
02407;Laniscourt;2020;23210
02408;Laon;2020;17580
02409;Lappion;2020;19120
02410;Largny-sur-Automne;2020;25590
02411;Latilly;2020;21310
02412;Launoy;2020;
02413;Laval-en-Laonnois;2020;23000
02414;Lavaqueresse;2020;22000
02415;Laversine;2020;25510
02416;Lemé;2020;19520
02417;Lempire;2020;19120
02418;Lerzy;2020;21020
02419;Leschelle;2020;24100
02420;Lesdins;2020;24540
02421;Lesges;2020;
02422;Lesquielles-Saint-Germain;2020;18860
02423;Leuilly-sous-Coucy;2020;21580
02424;Leury;2020;22120
02425;Leuze;2020;19120
02426;Levergies;2020;22330
02427;Lhuys;2020;20720
02428;Licy-Clignon;2020;
02429;Lierval;2020;23440
02430;Liesse-Notre-Dame;2020;19850
02431;Liez;2020;21480
02432;Limé;2020;21250
02433;Lislet;2020;20390
02435;Logny-lès-Aubenton;2020;
02438;Longpont;2020;23940
02439;Les Septvallons;2020;20690
02440;Lor;2020;19530
02441;Louâtre;2020;24300
02442;Loupeigne;2020;
02443;Lucy-le-Bocage;2020;25460
02444;Lugny;2020;20040
02445;Luzoir;2020;21870
02446;Ly-Fontaine;2020;22620
02447;Maast-et-Violaine;2020;18950
02448;Mâchecourt;2020;21570
02449;Macogny;2020;
